timestamp,input_path,output_txt,output_meta,pages,ocr_pages,ocr_mode,dpi,text_chars,ocr_chars,duration_sec,status,error
2025-12-23 08:54:09,CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf,extracted_text\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.txt,extracted_text\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.json,2788,2788,always,300,4026910,3893186,2933.14,ok,
2025-12-23 09:48:21,CASE DOCS\05.08.25 - 25-0367 MOTION TO CONSOLIDATE-1.pdf,extracted_text\05.08.25 - 25-0367 MOTION TO CONSOLIDATE-1.txt,extracted_text\05.08.25 - 25-0367 MOTION TO CONSOLIDATE-1.json,2788,2788,always,300,4026594,3892554,3251.39,ok,
2025-12-23 09:48:28,CASE DOCS\05.09.24 Defective IWO-1.pdf,extracted_text\05.09.24 Defective IWO-1.txt,extracted_text\05.09.24 Defective IWO-1.json,4,4,always,300,13808,11926,7.32,ok,
2025-12-23 09:48:40,CASE DOCS\05.12.2025_AFFIDAVIT OF CHARLES DUSTIN MYERS-1.pdf,extracted_text\05.12.2025_AFFIDAVIT OF CHARLES DUSTIN MYERS-1.txt,extracted_text\05.12.2025_AFFIDAVIT OF CHARLES DUSTIN MYERS-1.json,13,13,always,300,13487,13237,12.4,ok,
2025-12-23 09:48:51,CASE DOCS\05.12.25 - 25-0361 AFFIDAVIT OF CHARLES DUSTIN MYERS-1.pdf,extracted_text\05.12.25 - 25-0361 AFFIDAVIT OF CHARLES DUSTIN MYERS-1.txt,extracted_text\05.12.25 - 25-0361 AFFIDAVIT OF CHARLES DUSTIN MYERS-1.json,11,11,always,300,11943,11840,10.49,ok,
2025-12-23 09:48:53,CASE DOCS\05.13.2024_POST CARD SUPCT PETMAND FILED-1.pdf,extracted_text\05.13.2024_POST CARD SUPCT PETMAND FILED-1.txt,extracted_text\05.13.2024_POST CARD SUPCT PETMAND FILED-1.json,6,6,always,300,1977,1884,2.57,ok,
2025-12-23 09:48:56,CASE DOCS\05.13.24 - 24-0395 MANDAMUS FILED POSTCARD-1.pdf,extracted_text\05.13.24 - 24-0395 MANDAMUS FILED POSTCARD-1.txt,extracted_text\05.13.24 - 24-0395 MANDAMUS FILED POSTCARD-1.json,5,5,always,300,1627,1649,2.14,ok,
2025-12-23 09:48:58,CASE DOCS\05.13.24 - PETITION MANDAMUS RECEIVED-1.pdf,extracted_text\05.13.24 - PETITION MANDAMUS RECEIVED-1.txt,extracted_text\05.13.24 - PETITION MANDAMUS RECEIVED-1.json,5,5,always,300,1627,1649,2.0,ok,
2025-12-23 09:49:04,CASE DOCS\05.14.24 Notice of Clarification-1.pdf,extracted_text\05.14.24 Notice of Clarification-1.txt,extracted_text\05.14.24 Notice of Clarification-1.json,7,7,always,300,5874,5832,6.0,ok,
2025-12-23 09:49:06,CASE DOCS\05.15.25 - ORDER DENYING OBJECTION TO ORDER OF ASSIGNMENT-1.pdf,extracted_text\05.15.25 - ORDER DENYING OBJECTION TO ORDER OF ASSIGNMENT-1.txt,extracted_text\05.15.25 - ORDER DENYING OBJECTION TO ORDER OF ASSIGNMENT-1.json,3,3,always,300,2595,2592,2.57,ok,
