issue,citation,doc_count
recusal,Walker v. Packer,44
recusal,In re Norman,42
recusal,In re Prudential,39
recusal,Burnaman v. Heaton,27
recusal,Ex parte Thuesen,27
recusal,Sears v. Nueces,27
recusal,In re Alpert,26
recusal,In re Rose,25
recusal,In re Inquiry,25
recusal,In re Marriage,23
recusal,Troxel v. Granville,22
recusal,In re Moore,21
recusal,Caperton v. A.T,20
recusal,In re Interest,20
recusal,In re Tex,19
recusal,Co. v. Jackson,19
recusal,In re Amir-Sharif,19
recusal,In re Gold,19
recusal,In re Conner,18
recusal,Sanchez v. State,18
recusal,In re Canales,18
recusal,Woodruff v. Wright,18
recusal,Browning v. Prostok,17
recusal,In re Blakeney,17
recusal,Myers v Charles,17
recusal,In re C.J.C,17
recusal,Perry v. Del,17
recusal,In re State,17
recusal,Guillen v. Cameron,17
recusal,Ludlow v. DeBerry,17
recusal,Bypass v. Axos,17
recusal,U.S. v. Welch,17
recusal,Curtis v. Gibbs,16
recusal,In re Team,16
recusal,Wyatt v. Shaw,16
recusal,In re Layton,16
recusal,In re E.R,16
recusal,Rogers v. Bradley,16
recusal,In re Union,16
recusal,States v. Harris,16
federal_court,S.P.R.L. v. Imrex,104
federal_court,Inc. v. Northwestern,78
federal_court,Walker v. Packer,75
federal_court,In re Prudential,70
federal_court,Boyle v. United,65
federal_court,In re Interest,55
federal_court,States v. Turkette,52
federal_court,In re Marriage,50
federal_court,In re C.J.C,49
federal_court,Burnaman v. Heaton,45
federal_court,Tal v. Hogan,44
federal_court,Corp. v. Twombly,43
federal_court,Corp. v. Stone,42
federal_court,Bustos v. Invierte,39
federal_court,Inc v. Northwestern,39
federal_court,In re Norman,38
federal_court,Ashcroft v. Iqbal,37
federal_court,Hall v. Witteman,37
federal_court,Bixler v. Foster,37
federal_court,Skurkey v. Daniel,36
federal_court,Troxel v. Granville,35
federal_court,Co. v. Donovan,35
federal_court,Schrag v. Dinges,35
federal_court,Heinrich v. Waiting,35
federal_court,In re E.R,34
federal_court,George v. Urban,33
federal_court,Inc. v. SFHC,32
federal_court,Co. v. FNF,32
federal_court,Inc. v. Dick,32
federal_court,Reves v. Ernst,32
federal_court,Bonton v. Archer,31
federal_court,Bank v. Monson,31
federal_court,Sedima v. Imrex,31
federal_court,States v. Greenberg,30
federal_court,Smulley v. Fed,30
federal_court,Johnson v. Heath,29
federal_court,U.S. v. Admon,29
federal_court,Perrin v. United,29
federal_court,U.S. v. Welch,29
federal_court,Browning v. Prostok,28
appeal,S.P.R.L. v. Imrex,101
appeal,Walker v. Packer,79
appeal,Inc. v. Northwestern,78
appeal,In re Prudential,70
appeal,In re Interest,66
appeal,Boyle v. United,65
appeal,In re Marriage,52
appeal,States v. Turkette,52
appeal,In re C.J.C,50
appeal,Burnaman v. Heaton,49
appeal,Tal v. Hogan,44
