citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Inc. v. Northwestern | 492 U.S. 229,65,2,63,157,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | F.4th 851 (10th Cir. 2022); H.J. Inc. v. Northwestern Bell Tel. Co., 492 U.S. 229 (1989), as"
Walker v. Packer | 827 S.W.2d 833,64,40,24,194,appeal;mandamus;notice;jurisdiction;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
S.P.R.L. v. Imrex | 473 U.S. 479,61,1,60,91,rico;federal_court;property_financial;fraud_perjury;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | may not be sufficient. Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479,496 n. 14, 105 S.Ct."
Boyle v. United | 556 U.S. 938,57,1,56,166,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 1993)), abrogated on other grounds by Boyle v. United States, 556 U.S. 938 (2009)). For"
States v. Turkette | 452 U.S. 576,46,0,46,163,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf | States v. Turkette, 452 U.S. 576 (1981) (as cited in Boyle and numerous"
Tal v. Hogan | 453 F.3d 1244,44,1,43,128,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Stone, 998 F.2d 1534, 1543 (10th Cir. 1993); Tal v. Hogan, 453 F.3d 1244, 1267 (10th"
Corp. v. Twombly | 550 U.S. 544,41,0,41,54,jurisdiction;federal_court;appeal;property_financial;notice,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | not suffice. Id. (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570"
Corp. v. Stone | 998 F.2d 1534,38,2,36,158,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (W.D. Okla. May 10, 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir."
Inc v. Northwestern | 492 U.S. 229,38,0,38,53,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Inc v. Northwestern Bell Telephone Company, 492 U.S. 229, 109 S.Ct. 2893,"
Burnaman v. Heaton | 240 S.W.2d 288,37,32,5,198,appeal;hearing;property_financial;notice;jurisdiction,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | circumstances is void. Burnaman v. Heaton, 240 S.W.2d 288, 291 (Tex. 1951)."
Bixler v. Foster | 596 F.3d 751,37,0,37,109,appeal;federal_court;property_financial;rico;fraud_perjury,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | 268 (1992); Bixler v. Foster, 596 F.3d 751, 757 (10th Cir. 2010). The evidence"
In re C.J.C | 603 S.W.3d 804,35,26,9,136,appeal;custody;notice;federal_court;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | be afforded heightened protection. In re C.J.C., 603 S.W.3d 804, 809 (Tex. 2020)."
In re Norman | 191 S.W.3d 858,35,3,32,83,recusal;appeal;mandamus;federal_court;property_financial,"CASE DOCS\05.16.25 - NOTICE OF INTENT TO FILE MANDAMUS-1.pdf | ministerial duty. As explained in In re Norman, 191 S.W.3d 858 (Tex. App. 2006),"
In re Prudential | 148 S.W.3d 124,33,15,18,65,appeal;hearing;mandamus;jurisdiction;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | See In re Prudential Ins. Co. of Am., 148 S.W.3d 124, 135 (Tex. 2004). In other"
