citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
S.P.R.L. v. Imrex,104,1,103,236,rico;federal_court;property_financial;fraud_perjury;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | may not be sufficient. Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479,496 n. 14, 105 S.Ct."
Walker v. Packer,80,52,28,333,appeal;mandamus;notice;federal_court;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
Inc. v. Northwestern,78,2,76,577,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | F.4th 851 (10th Cir. 2022); H.J. Inc. v. Northwestern Bell Tel. Co., 492 U.S. 229 (1989), as"
In re Prudential,73,50,23,292,appeal;federal_court;jurisdiction;hearing;mandamus,CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | discretion and there is no adequate remedy by appeal. In re Prudential Ins. Co. of
In re Interest,66,0,66,201,appeal;hearing;federal_court;notice;property_financial,"RESEARCH\allegations such as drug.pdf | In re Interest of C.V.L., 591 S.W.3d 734 (Tex. App. 2019): The"
Boyle v. United,65,1,64,319,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 1993)), abrogated on other grounds by Boyle v. United States, 556 U.S. 938 (2009)). For"
In re Marriage,53,38,15,241,appeal;federal_court;notice;hearing;property_financial,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | minor children; related to Cause No. 322-744263-23, In re Marriage of Myers)"
States v. Turkette,52,0,52,234,appeal;federal_court;rico;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--1--From-December-2023-through-at-least-August-2025--a-group-of-individuals-Morgan-Michelle-Myers--D-1.pdf | a pattern of racketeering activity. (See United States v. Turkette, 452 U.S."
In re C.J.C,51,42,9,225,appeal;custody;notice;federal_court;property_financial,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | In re C.J.C., No. 19-0694, 2020 (Tex. Dec. 18, 2020)..RESERVED"
Burnaman v. Heaton,50,44,6,349,appeal;hearing;property_financial;notice;custody,CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Burnaman v. Heaton is directly on point: when a trial court knows a party does not consent to a
Tal v. Hogan,44,1,43,203,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Resolution Trust Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir. 1993); Tal v. Hogan, 453"
