citation,count
492 U.S. 229,108
473 U.S. 479,98
827 S.W.2d 833,76
148 S.W.3d 124,61
556 U.S. 938,61
452 U.S. 576,54
240 S.W.2d 288,51
530 U.S. 57,51
453 F.3d 1244,45
550 U.S. 544,43
544 S.W.2d 367,41
998 F.2d 1534,41
191 S.W.3d 858,40
596 F.3d 751,39
556 U.S. 662,38
"492 U.S.
229",38
603 S.W.3d 804,35
28 S.W.3d 611,35
385 S.W.3d 552,34
833 F.3d 1242,34
35 S.W.3d 602,33
"473
U.S. 479",33
584 F.3d 859,32
810 F.2d 925,32
917 F.2d 1507,32
668 F.3d 393,32
256 S.W.3d 257,30
839 F.2d 900,30
835 F.3d 295,30
511 S.W.2d 263,29
165 S.W.3d 336,29
424 U.S. 319,28
144 S.W.3d 661,28
546 S.W.3d 145,27
276 S.W.3d 592,26
355 F.2d 872,26
413 F.3d 1253,26
503 U.S. 258,26
987 S.W.2d 167,25
969 S.W.2d 427,25
677 S.W.3d 918,25
553 U.S. 639,25
66 S.W.3d 239,24
257 S.W.3d 794,24
985 F.3d 1272,24
444 U.S. 37,24
935 F.2d 1106,24
782 F.2d 883,24
254 S.W.3d 659,23
760 S.W.2d 245,23
458 S.W.3d 532,23
133 S.W.3d 217,23
872 F.2d 347,23
"473 U.S.
479",23
907 S.W.2d 454,22
945 S.W.2d 268,22
815 F.2d 579,22
698 S.W.2d 362,21
700 S.W.2d 916,21
826 F.2d 923,21
315 S.W.3d 533,21
855 F.2d 241,21
415 S.W.2d 642,20
783 S.W.2d 202,20
327 F.3d 1081,20
349 F.3d 1253,20
886 F.2d 1262,20
"492
U.S. 229",20
118 S.W.3d 742,19
57 S.W.3d 456,19
212 S.W.3d 417,19
774 S.W.2d 662,19
926 S.W.2d 391,19
93 S.W.3d 372,19
379 S.W.3d 267,19
480 F.3d 351,19
"191 S.W.3d
858",19
47 F.3d 1280,19
187 S.W.3d 148,18
"123

S.W.3d 456",18
"123 
S.W.3d 456",18
411 S.W.3d 445,18
556 U.S. 868,18
832 S.W.2d 424,18
275 S.W.3d 109,18
51 S.W.3d 727,18
"553
U.S. 639",18
741 F.2d 482,18
474 U.S. 438,18
"35
S.W.3d 602",17
"35 
S.W.3d 602",17
325 S.W.3d 640,17
96 S.W.3d 708,17
"148
S.W.3d 124",17
485 U.S. 80,17
909 S.W.2d 872,17
959 S.W.2d 265,17
695 F.3d 1125,17
210 S.W.3d 609,16
79 S.W.3d 10,16
901 S.W.2d 926,16
815 S.W.2d 548,16
127 S.W.3d 1,16
4 S.W.3d 897,16
661 F.3d 1291,16
946 S.W.2d 533,16
119 S.W.3d 707,16
29 S.W.3d 199,16
151 S.W.3d 206,15
"255
S.W.3d 613",15
193 S.W.3d 181,15
499 S.W.3d 888,15
62 S.W.3d 225,15
"255 
S.W.3d 613",15
374 S.W.2d 417,15
774 S.W.2d 644,15
290 S.W.3d 204,15
994 S.W.2d 628,15
654 S.W.2d 442,15
363 S.W.3d 573,15
852 S.W.2d 440,15
826 F.3d 1237,15
"998 F.2d
1534",15
976 F.2d 1016,15
43 F.3d 198,15
507 U.S. 170,15
493 U.S. 1074,14
842 S.W.2d 7,14
96 S.W.3d 705,14
734 S.W.2d 673,14
897 S.W.2d 765,14
369 S.W.2d 331,14
670 S.W.2d 681,14
892 S.W.2d 855,14
833 S.W.2d 612,14
225 S.W.3d 676,14
291 S.W.2d 677,14
984 S.W.2d 672,14
380 U.S. 545,14
330 S.W.3d 411,14
239 S.W.3d 910,14
593 S.W.3d 271,14
