citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
492 U.S. 229,108,2,106,531,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | F.4th 851 (10th Cir. 2022); H.J. Inc. v. Northwestern Bell Tel. Co., 492 U.S. 229 (1989), as"
473 U.S. 479,98,1,97,220,rico;federal_court;property_financial;fraud_perjury;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | may not be sufficient. Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479,496 n. 14, 105 S.Ct."
827 S.W.2d 833,76,47,29,328,appeal;mandamus;notice;jurisdiction;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
148 S.W.3d 124,61,39,22,306,appeal;hearing;mandamus;federal_court;property_financial,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
556 U.S. 938,61,1,60,211,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 1993)), abrogated on other grounds by Boyle v. United States, 556 U.S. 938 (2009)). For"
452 U.S. 576,54,0,54,211,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Turkette, 452 U.S. 576, 591, 101 S.Ct. 2524, 2532, 69 L.Ed.2d 246 (1981). A"
240 S.W.2d 288,51,45,6,369,appeal;hearing;property_financial;notice;custody,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | circumstances is void. Burnaman v. Heaton, 240 S.W.2d 288, 291 (Tex. 1951)."
530 U.S. 57,51,38,13,216,appeal;notice;hearing;custody;temporary_orders,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Troxel et vir v. Granville, 530 U.S. 57 (2000).................38"
453 F.3d 1244,45,1,44,150,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Stone, 998 F.2d 1534, 1543 (10th Cir. 1993); Tal v. Hogan, 453 F.3d 1244, 1267 (10th"
550 U.S. 544,43,1,42,61,jurisdiction;federal_court;appeal;property_financial;notice,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | v. Twombly, 550 U.S. 544, 570 (2007))."
544 S.W.2d 367,41,34,7,288,custody;property_financial;appeal;federal_court;protective_order,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Holley v. Adams, 544 S.W.2d 367 (Tex. 1976).36"
998 F.2d 1534,41,2,39,231,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (W.D. Okla. May 10, 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir."
191 S.W.3d 858,40,7,33,140,recusal;appeal;mandamus;federal_court;property_financial,"CASE DOCS\05.16.25 - NOTICE OF INTENT TO FILE MANDAMUS-1.pdf | ministerial duty. As explained in In re Norman, 191 S.W.3d 858 (Tex. App. 2006),"
596 F.3d 751,39,1,38,134,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | v. Foster, 596 F.3d 751, 761 (10th Cir. 2010))."
556 U.S. 662,38,1,37,62,jurisdiction;rico;fraud_perjury;federal_court;discovery,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And while the Court"
603 S.W.3d 804,35,26,9,204,appeal;custody;notice;federal_court;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 603 S.W.3d 804, 809 (Tex. 2020) ............................................................ 20"
28 S.W.3d 611,35,15,20,90,recusal;appeal;federal_court;due_process;law_enforcement,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 769, 776 (Tex. App.Dallas 2011, no pet.) (quoting Sears v. Olivarez, 28 S.W.3d 611, 615"
833 F.3d 1242,34,2,32,123,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Servs., 833 F.3d 1242, 1248 (10th Cir. 2016))."
385 S.W.3d 552,34,11,23,119,due_process;notice;federal_court;appeal;hearing,"CASE DOCS\04.21.2025_02-25-00166-CV - EN BANC VOID ORDER-1.pdf | 385 S.W.3d 552,  (Tex.2012) .......................................................... 12"
35 S.W.3d 602,33,21,12,175,appeal;notice;hearing;federal_court;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | procedural sequence. In re Southwestern Bell Tel. Co., 35 S.W.3d 602, 605 (Tex. 2000). When a"
810 F.2d 925,32,1,31,115,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Torwest DBC, Inc. v. Dick, 810 F.2d 925, 928 (10th Cir. 1987); Edwards v. First Nat."
917 F.2d 1507,32,0,32,62,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | common scheme. Id. (citing Sil-Flo, Inc. v. SFHC, Inc., 917 F.2d 1507, 1516"
668 F.3d 393,32,0,32,55,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | Servs., Inc., 668 F.3d 393, 409 (6th Cir. 2012). 'RICO is not aimed at the"
584 F.3d 859,32,1,31,52,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | at *7 (citing Hall v. Witteman, 584 F.3d 859, 867-68 (10th Cir. 2009)). This is insufficient"
256 S.W.3d 257,30,26,4,80,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | judicial system. In re Team Rocket, L.P., 256 S.W.3d 257, 262 (Tex. 2008)."
835 F.3d 295,30,1,29,47,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | scheme to defraud."" As noted in United States v. Greenberg, 835 F.3d 295 (2nd Cir."
839 F.2d 900,30,1,29,33,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | defraud."" As stated in US. v. Blackmon, 839 F.2d 900 (2nd Cir. 1988), the wire fraud"
165 S.W.3d 336,29,18,11,117,appeal;notice;federal_court;hearing;property_financial,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | collateral attack in a separate proceeding.Browning v. Prostok, 165 S.W.3d 336, 346 (Tex. 2005)(Browning v."
511 S.W.2d 263,29,29,0,116,appeal;notice;jurisdiction;federal_court;mandamus,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | court has continuing exclusive jurisdiction. Curtis v. Gibbs, 511 S.W.2d 263, 267 (Tex. 1974)"
144 S.W.3d 661,28,13,15,125,appeal;property_financial;recusal;federal_court;removal_remand,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | by the accountability measures in place. In re Rose, 144 S.W.3d 661 (Tex."
424 U.S. 319,28,21,7,56,appeal;notice;hearing;temporary_orders;federal_court,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Mathews v. Eldridge, 424 U.S. 319 (1976)...36"
546 S.W.3d 145,27,4,23,85,recusal;ex_parte;appeal;federal_court;property_financial,"CASE DOCS\08.21.25 - SECOND AMENDED MOTION FOR REHEARING.pdf | 546 S.W.3d 145 (Tex. Crim. App. 2017); In re Burcham,  NO. 12-18-"
413 F.3d 1253,26,0,26,64,fraud_perjury;appeal;federal_court;rico;property_financial,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | pose a threat of continued criminal activity (U.S. v. Smith, 413 F.3d 1253"
503 U.S. 258,26,0,26,46,appeal;federal_court;property_financial;rico;fraud_perjury,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | racketeering activity. See Holmes v. Sec. Investor Prot. Corp., 503 U.S. 258,"
276 S.W.3d 592,26,2,24,45,recusal;appeal;property_financial;mandamus;federal_court,"CASE DOCS\08.21.25 - SECOND AMENDED MOTION FOR REHEARING.pdf | Alpert, 276 S.W.3d 592 (Tex. App. 2008) and In re Norman, 191 S.W.3d 858 (Tex."
355 F.2d 872,26,1,25,29,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Under United States v. Compton, 355 F.2d 872 (6th Cir. 1966), this"
677 S.W.3d 918,25,8,17,90,law_enforcement;recusal;federal_court;appeal;property_financial,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | In In re Inquiry Concerning Honorable Bonnie Rangel (677 S.W.3d 918, Tex. 2023), the Texas"
969 S.W.2d 427,25,2,23,69,recusal;appeal;federal_court;jurisdiction;hearing,CASE DOCS\05.27.25 - MANDAMUS CAYCE_5ACD0433.pdf | 969 S.W.2d 427 (Tex. 1998) ..................................................................... 15
987 S.W.2d 167,25,4,21,56,recusal;appeal;hearing;property_financial;federal_court,CASE DOCS\05.19.25 - 0426 MANDAMUS-1.pdf | 987 S.W.2d 167 (Tex. App. 1999) ............................................................. 14
553 U.S. 639,25,0,25,37,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | the injury. Bridge v. Phoenix Bond & Indem. Co., 553 U.S. 639, 649 (2008)."
66 S.W.3d 239,24,21,3,123,appeal;federal_court;mandamus;notice;jurisdiction,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 2. Perry v. Del Rio, 66 S.W.3d 239, 252 (Tex. 2001)"
257 S.W.3d 794,24,11,13,83,appeal;law_enforcement;hearing;injunction;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 257 S.W.3d 794, 795 (Tex. App. Amarillo 2008, orig. proceeding) ..... 9"
