citation,doc_count,total_hits,sample_source
S.P.R.L. v. Imrex,104,236,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | may not be sufficient. Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479,496 n. 14, 105 S.Ct."
Walker v. Packer,80,333,"2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
Inc. v. Northwestern,78,577,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | F.4th 851 (10th Cir. 2022); H.J. Inc. v. Northwestern Bell Tel. Co., 492 U.S. 229 (1989), as"
In re Prudential,73,292,2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | discretion and there is no adequate remedy by appeal. In re Prudential Ins. Co. of
In re Interest,66,201," | RESEARCH\allegations such as drug.pdf | In re Interest of C.V.L., 591 S.W.3d 734 (Tex. App. 2019): The"
Boyle v. United,65,319,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 1993)), abrogated on other grounds by Boyle v. United States, 556 U.S. 938 (2009)). For"
In re Marriage,53,241,"2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | minor children; related to Cause No. 322-744263-23, In re Marriage of Myers)"
States v. Turkette,52,234," | RESEARCH\vLex-Vincent--1--From-December-2023-through-at-least-August-2025--a-group-of-individuals-Morgan-Michelle-Myers--D-1.pdf | a pattern of racketeering activity. (See United States v. Turkette, 452 U.S."
In re C.J.C,51,225,"2024-03-14 | CASE DOCS\03.14.24 - AJ Rep-1.pdf | In re C.J.C., No. 19-0694, 2020 (Tex. Dec. 18, 2020)..RESERVED"
Burnaman v. Heaton,50,349,2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Burnaman v. Heaton is directly on point: when a trial court knows a party does not consent to a
Tal v. Hogan,44,203,"2025-09-14 | CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Resolution Trust Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir. 1993); Tal v. Hogan, 453"
In re Norman,43,164,"2025-05-16 | CASE DOCS\05.16.25 - NOTICE OF INTENT TO FILE MANDAMUS-1.pdf | ministerial duty. As explained in In re Norman, 191 S.W.3d 858 (Tex. App. 2006),"
Corp. v. Twombly,43,82," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | not suffice. Id. (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570"
Corp. v. Stone,42,242,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (W.D. Okla. May 10, 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir."
Inc v. Northwestern,39,89," | RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Inc v. Northwestern Bell Telephone Company, 492 U.S. 229, 109 S.Ct. 2893,"
Bustos v. Invierte,39,61,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | be both related and continuous. Bustos v. Invierte En Tex. , 4:22-CV-02690 (S.D. Tex. Jun"
Bixler v. Foster,37,123," | RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | 268 (1992); Bixler v. Foster, 596 F.3d 751, 757 (10th Cir. 2010). The evidence"
Ashcroft v. Iqbal,37,82,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And while the Court"
Hall v. Witteman,37,79,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | at *7 (citing Hall v. Witteman, 584 F.3d 859, 867-68 (10th Cir. 2009)). This is insufficient"
Troxel v. Granville,36,228,"2025-04-08 | CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | fit parent. Troxel v. Granville, 530 U.S. at 68-69. The government may not"
