citation,doc_count,total_hits,sample_source
492 U.S. 229,108,531,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | F.4th 851 (10th Cir. 2022); H.J. Inc. v. Northwestern Bell Tel. Co., 492 U.S. 229 (1989), as"
473 U.S. 479,98,220,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | may not be sufficient. Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479,496 n. 14, 105 S.Ct."
827 S.W.2d 833,76,328,"2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
148 S.W.3d 124,61,306,"2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
556 U.S. 938,61,211,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 1993)), abrogated on other grounds by Boyle v. United States, 556 U.S. 938 (2009)). For"
452 U.S. 576,54,211," | RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Turkette, 452 U.S. 576, 591, 101 S.Ct. 2524, 2532, 69 L.Ed.2d 246 (1981). A"
240 S.W.2d 288,51,369,"2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | circumstances is void. Burnaman v. Heaton, 240 S.W.2d 288, 291 (Tex. 1951)."
530 U.S. 57,51,216,"2024-03-14 | CASE DOCS\03.14.24 - AJ Rep-1.pdf | Troxel et vir v. Granville, 530 U.S. 57 (2000).................38"
453 F.3d 1244,45,150,"2025-09-14 | CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Stone, 998 F.2d 1534, 1543 (10th Cir. 1993); Tal v. Hogan, 453 F.3d 1244, 1267 (10th"
550 U.S. 544,43,61,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | v. Twombly, 550 U.S. 544, 570 (2007))."
544 S.W.2d 367,41,288,"2024-03-14 | CASE DOCS\03.14.24 - AJ Rep-1.pdf | Holley v. Adams, 544 S.W.2d 367 (Tex. 1976).36"
998 F.2d 1534,41,231,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (W.D. Okla. May 10, 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir."
191 S.W.3d 858,40,140,"2025-05-16 | CASE DOCS\05.16.25 - NOTICE OF INTENT TO FILE MANDAMUS-1.pdf | ministerial duty. As explained in In re Norman, 191 S.W.3d 858 (Tex. App. 2006),"
596 F.3d 751,39,134,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | v. Foster, 596 F.3d 751, 761 (10th Cir. 2010))."
556 U.S. 662,38,62,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And while the Court"
603 S.W.3d 804,35,204,"2025-03-20 | CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 603 S.W.3d 804, 809 (Tex. 2020) ............................................................ 20"
28 S.W.3d 611,35,90,"2025-05-08 | CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 769, 776 (Tex. App.Dallas 2011, no pet.) (quoting Sears v. Olivarez, 28 S.W.3d 611, 615"
833 F.3d 1242,34,123,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Servs., 833 F.3d 1242, 1248 (10th Cir. 2016))."
385 S.W.3d 552,34,119,"2025-04-21 | CASE DOCS\04.21.2025_02-25-00166-CV - EN BANC VOID ORDER-1.pdf | 385 S.W.3d 552,  (Tex.2012) .......................................................... 12"
35 S.W.3d 602,33,175,"2025-03-20 | CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | procedural sequence. In re Southwestern Bell Tel. Co., 35 S.W.3d 602, 605 (Tex. 2000). When a"
