corpus,source_pdf,source_txt,source_exists,date,year,month,day,case_numbers,doc_tags,pages,text_chars,ocr_chars,word_count,status
case,CASE DOCS\02-24-00149-CV_24149CV-1.pdf,extracted_text\02-24-00149-CV_24149CV-1.txt,yes,2014-02-24,2014,02,24,,,2,691,587,197,ok
case,CASE DOCS\02-24-00149-CV_24149CV.cor-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor-1.txt,yes,2014-02-24,2014,02,24,,,2,690,586,197,ok
case,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.txt,yes,2014-02-24,2014,02,24,,,2,734,632,213,ok
case,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.txt,yes,2014-02-24,2014,02,24,,,2,734,632,213,ok
case,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.txt,yes,2014-02-24,2014,02,24,,,2,1663,1625,561,ok
case,CASE DOCS\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.pdf,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.txt,yes,2014-02-24,2014,02,24,,,1,1457,1435,485,ok
case,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,yes,2014-02-24,2014,02,24,,,1,690,699,248,ok
case,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,yes,2014-02-24,2014,02,24,,,1,690,699,248,ok
case,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.txt,yes,2014-02-24,2014,02,24,,,1,1257,1212,421,ok
case,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.txt,yes,2014-02-24,2014,02,24,,,1,1257,1212,421,ok
