corpus,source_pdf,source_txt,date,case_numbers,signal_total,federal,district_court,removal,remand,civil_rights_1983,rico,due_process,jurisdiction,abstention,injunction,mandamus
case,CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf,extracted_text\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.txt,2025-05-08,25-0361,4410,415,940,232,113,32,0,598,871,56,227,926
case,CASE DOCS\05.08.25 - 25-0367 MOTION TO CONSOLIDATE-1.pdf,extracted_text\05.08.25 - 25-0367 MOTION TO CONSOLIDATE-1.txt,2025-05-08,25-0367,4410,415,940,232,113,32,0,598,871,56,227,926
case,CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf,extracted_text\04.23.25 - Notice of Trial Setting-1.txt,2025-04-23,,1280,28,314,15,43,12,0,182,318,0,16,352
case,CASE DOCS\04.10.25 - Mandamus-1.pdf,extracted_text\04.10.25 - Mandamus-1.txt,2025-04-10,,1064,8,271,8,18,0,0,94,231,0,35,399
case,CASE DOCS\04.02.25 - Petitioner's Notice (233)-1.pdf,extracted_text\04.02.25 - Petitioner's Notice (233)-1.txt,2025-04-02,,1056,10,265,12,18,0,0,96,235,0,35,385
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (9)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (9)-1.txt,,,1054,93,31,3,0,0,894,4,6,11,2,10
case,CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf,extracted_text\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.txt,2025-03-20,,1041,16,255,8,24,12,0,92,231,0,22,381
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain (1)-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain (1)-1.txt,,,1028,204,31,6,0,0,775,1,11,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.txt,,,1028,204,31,6,0,0,775,1,11,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-86b6a49f-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-86b6a49f-1.txt,,,1028,204,31,6,0,0,775,1,11,0,0,0
research,RESEARCH\vLex-Vincent-TIMELINE-OF-EVENTS-BACKGROUND-Morgan-Michelle-Myers----Myers---and-Charles-Dustin-Myers----Plaintiff-902c4461-1.pdf,extracted_research\vLex-Vincent-TIMELINE-OF-EVENTS-BACKGROUND-Morgan-Michelle-Myers----Myers---and-Charles-Dustin-Myers----Plaintiff-902c4461-1.txt,,,953,115,13,4,0,0,793,7,14,0,0,7
research,RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf,extracted_research\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.txt,,,931,146,18,0,0,4,741,2,7,2,11,0
research,RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-e95e2036-1.pdf,extracted_research\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-e95e2036-1.txt,,,931,146,18,0,0,4,741,2,7,2,11,0
research,RESEARCH\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.pdf,extracted_research\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.txt,,,905,207,6,1,0,94,0,230,283,15,50,19
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (6)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (6)-1.txt,,,900,95,21,3,0,2,742,4,8,11,2,12
research,RESEARCH\vLex-Vincent-Evaluate-the-viability-of-the-complaint-filed-by-Charles-Dustin-Myers-under-the-Racketeer-Influenced-1.pdf,extracted_research\vLex-Vincent-Evaluate-the-viability-of-the-complaint-filed-by-Charles-Dustin-Myers-under-the-Racketeer-Influenced-1.txt,,,892,172,29,0,0,1,642,3,45,0,0,0
research,RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf,extracted_research\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.txt,,,872,88,22,8,0,3,705,7,33,0,3,3
research,RESEARCH\vLex-Vincent-Defendants-engaged-in-at-least-two-predicate-acts--wire-fraud--money-laundering--obstruction--etc----1.pdf,extracted_research\vLex-Vincent-Defendants-engaged-in-at-least-two-predicate-acts--wire-fraud--money-laundering--obstruction--etc----1.txt,,,868,111,5,0,0,1,751,0,0,0,0,0
research,RESEARCH\vLex-Vincent-What-are-the-elements-of-RICO--Racketeer-Influenced-and-Corrupt-Organizations-Act--that-must-be-sati-1.pdf,extracted_research\vLex-Vincent-What-are-the-elements-of-RICO--Racketeer-Influenced-and-Corrupt-Organizations-Act--that-must-be-sati-1.txt,,,842,113,20,0,0,3,701,2,3,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS------ (1)-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS------ (1)-1.txt,,,825,155,22,7,0,4,620,0,17,0,0,0
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (5)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (5)-1.txt,,,809,119,31,3,0,0,621,4,7,11,2,11
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (4)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (4)-1.txt,,,801,133,16,3,0,1,611,4,9,11,2,11
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.txt,,,777,90,28,3,0,0,603,4,14,11,13,11
research,RESEARCH\vLex-Vincent-What-are-the-legal-standards-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-standards-1.txt,,,765,307,33,0,0,148,0,147,109,6,15,0
research,RESEARCH\vLex-Vincent-What-are-the-legal-standards-140066f6-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-standards-140066f6-1.txt,,,765,307,33,0,0,148,0,147,109,6,15,0
research,RESEARCH\vLex-Vincent-What-are-the-legal-standards-c14a9987-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-standards-c14a9987-1.txt,,,765,307,33,0,0,148,0,147,109,6,15,0
research,RESEARCH\vLex-Vincent-The-mother--with-the-assistance-of-her-stepfather--engaged-in-a-series-of-coordinated-actions--inclu-1.pdf,extracted_research\vLex-Vincent-The-mother--with-the-assistance-of-her-stepfather--engaged-in-a-series-of-coordinated-actions--inclu-1.txt,,,762,86,10,0,0,0,665,0,1,0,0,0
research,RESEARCH\vLex-Vincent-What-constitutes-an-enterprise-under-RICO-in-the-10th-Circuit--1.pdf,extracted_research\vLex-Vincent-What-constitutes-an-enterprise-under-RICO-in-the-10th-Circuit--1.txt,,,734,85,17,0,0,0,626,1,5,0,0,0
case,CASE DOCS\05.19.25 - Evans Mandamus-1.pdf,extracted_text\05.19.25 - Evans Mandamus-1.txt,2025-05-19,,721,44,59,85,17,0,0,220,194,0,10,92
research,RESEARCH\vLex-Vincent-If-someone-in-oklahoma-invites-someone-to-his-house-and-that-person-lives-in-Texas--and-their-whole--1.pdf,extracted_research\vLex-Vincent-If-someone-in-oklahoma-invites-someone-to-his-house-and-that-person-lives-in-Texas--and-their-whole--1.txt,,,721,389,23,3,1,1,71,3,230,0,0,0
research,RESEARCH\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-1.pdf,extracted_research\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-1.txt,,,721,179,12,0,0,1,529,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-6a4a8b2c-1.pdf,extracted_research\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-6a4a8b2c-1.txt,,,721,179,12,0,0,1,529,0,0,0,0,0
case,CASE DOCS\05.19.25 - MANDAMUS RECORD.pdf,extracted_text\05.19.25 - MANDAMUS RECORD.txt,2025-05-19,,720,44,59,85,18,0,0,220,194,0,10,90
research,RESEARCH\vLex-Vincent-The-Defendants--Morgan-Michelle-Myers--Daniel-Kenneth-Branthoover--and-Margie-Evonne-Wilson--coordin-1.pdf,extracted_research\vLex-Vincent-The-Defendants--Morgan-Michelle-Myers--Daniel-Kenneth-Branthoover--and-Margie-Evonne-Wilson--coordin-1.txt,,,714,156,12,0,0,0,546,0,0,0,0,0
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (10)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (10)-1.txt,,,708,178,27,3,0,0,285,4,182,17,1,11
