issue,citation,doc_count
mandamus,827 S.W.2d 833,47
appeal,827 S.W.2d 833,47
mandamus,240 S.W.2d 288,45
jurisdiction,827 S.W.2d 833,45
property_financial,240 S.W.2d 288,45
appeal,240 S.W.2d 288,45
custody,240 S.W.2d 288,45
associate_judge,240 S.W.2d 288,45
notice,827 S.W.2d 833,45
notice,240 S.W.2d 288,45
hearing,240 S.W.2d 288,45
federal_court,827 S.W.2d 833,45
federal_court,240 S.W.2d 288,45
property_financial,827 S.W.2d 833,44
hearing,827 S.W.2d 833,44
jurisdiction,240 S.W.2d 288,43
injunction,240 S.W.2d 288,43
associate_judge,827 S.W.2d 833,42
custody,827 S.W.2d 833,41
temporary_orders,240 S.W.2d 288,41
fraud_perjury,240 S.W.2d 288,41
temporary_orders,827 S.W.2d 833,40
mandamus,148 S.W.3d 124,39
due_process,827 S.W.2d 833,39
sanctions_contempt,240 S.W.2d 288,39
appeal,148 S.W.3d 124,39
lockout_eviction,827 S.W.2d 833,39
hearing,148 S.W.3d 124,39
law_enforcement,827 S.W.2d 833,38
law_enforcement,240 S.W.2d 288,38
lockout_eviction,240 S.W.2d 288,38
federal_court,148 S.W.3d 124,38
property_financial,530 U.S. 57,38
appeal,530 U.S. 57,38
custody,530 U.S. 57,38
temporary_orders,530 U.S. 57,38
notice,530 U.S. 57,38
hearing,530 U.S. 57,38
federal_court,530 U.S. 57,38
child_support_oag,240 S.W.2d 288,37
injunction,827 S.W.2d 833,37
property_financial,148 S.W.3d 124,37
custody,148 S.W.3d 124,37
associate_judge,148 S.W.3d 124,37
notice,148 S.W.3d 124,37
due_process,148 S.W.3d 124,36
lockout_eviction,148 S.W.3d 124,36
fraud_perjury,827 S.W.2d 833,36
jurisdiction,530 U.S. 57,36
associate_judge,530 U.S. 57,36
law_enforcement,148 S.W.3d 124,35
jurisdiction,148 S.W.3d 124,35
protective_order,240 S.W.2d 288,35
ex_parte,827 S.W.2d 833,35
due_process,240 S.W.2d 288,35
sanctions_contempt,827 S.W.2d 833,35
child_support_oag,530 U.S. 57,35
child_support_oag,827 S.W.2d 833,34
injunction,148 S.W.3d 124,34
protective_order,827 S.W.2d 833,34
temporary_orders,148 S.W.3d 124,34
protective_order,530 U.S. 57,34
ex_parte,530 U.S. 57,34
property_financial,544 S.W.2d 367,34
due_process,530 U.S. 57,34
custody,544 S.W.2d 367,34
lockout_eviction,530 U.S. 57,34
fraud_perjury,530 U.S. 57,34
federal_court,544 S.W.2d 367,34
