issue_a,issue_b,doc_count
appeal,federal_court,678
federal_court,property_financial,657
federal_court,notice,614
appeal,property_financial,611
notice,property_financial,544
appeal,notice,537
federal_court,jurisdiction,528
custody,property_financial,526
federal_court,hearing,526
hearing,notice,521
custody,federal_court,499
jurisdiction,property_financial,486
appeal,hearing,483
hearing,property_financial,481
appeal,jurisdiction,480
custody,notice,466
federal_court,fraud_perjury,448
jurisdiction,notice,448
appeal,custody,446
fraud_perjury,property_financial,431
custody,hearing,425
hearing,jurisdiction,424
appeal,fraud_perjury,410
appeal,law_enforcement,404
law_enforcement,property_financial,402
federal_court,law_enforcement,400
custody,jurisdiction,399
law_enforcement,notice,372
appeal,mandamus,370
lockout_eviction,property_financial,370
hearing,law_enforcement,363
lockout_eviction,notice,362
federal_court,lockout_eviction,357
property_financial,protective_order,355
appeal,lockout_eviction,350
federal_court,mandamus,350
due_process,federal_court,348
hearing,lockout_eviction,348
notice,protective_order,348
federal_court,protective_order,347
custody,protective_order,342
custody,fraud_perjury,341
custody,law_enforcement,340
due_process,hearing,339
fraud_perjury,jurisdiction,339
due_process,notice,338
federal_court,removal_remand,336
fraud_perjury,notice,336
jurisdiction,law_enforcement,336
appeal,due_process,332
property_financial,removal_remand,332
hearing,protective_order,329
custody,lockout_eviction,328
notice,temporary_orders,328
associate_judge,federal_court,327
federal_court,temporary_orders,327
due_process,property_financial,324
hearing,temporary_orders,323
notice,removal_remand,321
appeal,protective_order,317
property_financial,temporary_orders,314
appeal,removal_remand,312
fraud_perjury,hearing,312
discovery,federal_court,310
jurisdiction,lockout_eviction,310
mandamus,notice,309
hearing,mandamus,305
associate_judge,hearing,304
jurisdiction,removal_remand,301
custody,temporary_orders,300
hearing,removal_remand,298
fraud_perjury,law_enforcement,295
appeal,associate_judge,293
discovery,property_financial,293
custody,due_process,292
due_process,jurisdiction,291
mandamus,property_financial,291
associate_judge,notice,290
hearing,injunction,290
federal_court,injunction,289
appeal,temporary_orders,288
injunction,notice,287
jurisdiction,protective_order,287
lockout_eviction,protective_order,286
injunction,property_financial,283
custody,removal_remand,281
discovery,notice,281
associate_judge,property_financial,279
due_process,law_enforcement,279
child_support_oag,federal_court,277
associate_judge,jurisdiction,275
law_enforcement,lockout_eviction,271
law_enforcement,removal_remand,271
federal_court,recusal,270
fraud_perjury,lockout_eviction,270
jurisdiction,temporary_orders,268
appeal,discovery,267
custody,injunction,266
appeal,injunction,265
discovery,hearing,264
fraud_perjury,protective_order,264
child_support_oag,notice,262
child_support_oag,property_financial,260
injunction,jurisdiction,260
protective_order,temporary_orders,260
custody,discovery,259
jurisdiction,mandamus,259
law_enforcement,protective_order,259
appeal,ex_parte,257
lockout_eviction,removal_remand,256
lockout_eviction,temporary_orders,256
discovery,jurisdiction,255
custody,mandamus,254
child_support_oag,custody,249
associate_judge,custody,248
ex_parte,hearing,246
fraud_perjury,removal_remand,246
law_enforcement,mandamus,246
due_process,lockout_eviction,245
child_support_oag,hearing,244
ex_parte,notice,244
associate_judge,temporary_orders,243
child_support_oag,jurisdiction,241
appeal,recusal,238
federal_court,sanctions_contempt,238
discovery,law_enforcement,237
discovery,fraud_perjury,236
due_process,temporary_orders,235
ex_parte,federal_court,234
hearing,recusal,234
hearing,sanctions_contempt,234
ex_parte,property_financial,232
protective_order,removal_remand,231
due_process,protective_order,230
appeal,sanctions_contempt,229
associate_judge,law_enforcement,229
associate_judge,mandamus,228
notice,recusal,228
due_process,mandamus,227
law_enforcement,temporary_orders,227
appeal,child_support_oag,226
associate_judge,due_process,226
associate_judge,lockout_eviction,224
due_process,removal_remand,224
mandamus,temporary_orders,224
due_process,fraud_perjury,222
injunction,law_enforcement,222
federal_court,rico,221
notice,sanctions_contempt,221
fraud_perjury,injunction,219
fraud_perjury,temporary_orders,219
property_financial,sanctions_contempt,218
lockout_eviction,mandamus,217
child_support_oag,temporary_orders,215
property_financial,rico,215
injunction,lockout_eviction,214
custody,ex_parte,212
injunction,protective_order,212
discovery,removal_remand,209
appeal,rico,208
discovery,protective_order,208
due_process,injunction,208
ex_parte,jurisdiction,208
removal_remand,temporary_orders,208
property_financial,recusal,207
discovery,lockout_eviction,206
injunction,mandamus,205
associate_judge,child_support_oag,203
associate_judge,recusal,203
due_process,ex_parte,201
injunction,temporary_orders,201
jurisdiction,recusal,200
fraud_perjury,rico,199
mandamus,removal_remand,199
associate_judge,injunction,197
ex_parte,law_enforcement,197
associate_judge,fraud_perjury,196
fraud_perjury,mandamus,195
child_support_oag,protective_order,193
injunction,removal_remand,193
custody,sanctions_contempt,192
mandamus,protective_order,192
law_enforcement,sanctions_contempt,189
associate_judge,protective_order,187
child_support_oag,fraud_perjury,187
jurisdiction,sanctions_contempt,187
mandamus,recusal,183
due_process,recusal,182
ex_parte,lockout_eviction,181
child_support_oag,lockout_eviction,178
fraud_perjury,sanctions_contempt,178
child_support_oag,law_enforcement,177
associate_judge,removal_remand,175
child_support_oag,due_process,174
discovery,due_process,174
law_enforcement,recusal,173
sanctions_contempt,temporary_orders,173
custody,recusal,172
ex_parte,mandamus,172
ex_parte,temporary_orders,172
ex_parte,protective_order,170
discovery,temporary_orders,169
due_process,sanctions_contempt,169
ex_parte,removal_remand,169
child_support_oag,discovery,168
discovery,injunction,168
child_support_oag,mandamus,167
lockout_eviction,sanctions_contempt,167
associate_judge,sanctions_contempt,165
discovery,mandamus,162
child_support_oag,injunction,160
child_support_oag,removal_remand,158
protective_order,sanctions_contempt,156
associate_judge,ex_parte,155
recusal,temporary_orders,153
lockout_eviction,recusal,152
associate_judge,discovery,149
ex_parte,fraud_perjury,149
