corpus,issue,source_pdf,source_txt,date,hit_count
case,mandamus,CASE DOCS\02-24-00149-CV_24149CV-1.pdf,extracted_text\02-24-00149-CV_24149CV-1.txt,2014-02-24,10
case,appeal,CASE DOCS\02-24-00149-CV_24149CV-1.pdf,extracted_text\02-24-00149-CV_24149CV-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_24149CV-1.pdf,extracted_text\02-24-00149-CV_24149CV-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_24149CV.cor-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor-1.txt,2014-02-24,10
case,appeal,CASE DOCS\02-24-00149-CV_24149CV.cor-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_24149CV.cor-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.txt,2014-02-24,10
case,appeal,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.txt,2014-02-24,10
case,appeal,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.txt,2014-02-24,2
case,recusal,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.txt,2014-02-24,2
case,appeal,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.txt,2014-02-24,6
case,federal_court,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.txt,2014-02-24,2
case,recusal,CASE DOCS\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.pdf,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.txt,2014-02-24,2
case,appeal,CASE DOCS\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.pdf,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.txt,2014-02-24,6
case,federal_court,CASE DOCS\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.pdf,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.txt,2014-02-24,2
case,notice,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,2014-02-24,2
case,appeal,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,2014-02-24,2
case,notice,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,2014-02-24,2
case,appeal,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.txt,2014-02-24,4
case,appeal,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.txt,2014-02-24,4
case,appeal,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.txt,2014-02-24,4
case,appeal,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.txt,2014-02-24,4
case,appeal,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.txt,2014-02-24,4
case,federal_court,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1.txt,2014-02-24,2
case,mandamus,CASE DOCS\02-25-00164-CV_25164CV-1.pdf,extracted_text\02-25-00164-CV_25164CV-1.txt,2016-02-25,10
