corpus,month,issue,doc_count,hit_count
case,2014-02,mandamus,10,60
case,2014-02,appeal,12,52
case,2014-02,federal_court,12,24
case,2014-02,recusal,2,4
case,2014-02,notice,2,4
case,2016-02,mandamus,4,26
case,2016-02,appeal,5,22
case,2016-02,federal_court,5,10
case,2016-02,associate_judge,2,4
case,2016-02,notice,1,2
case,2016-02,recusal,1,2
case,2016-02,child_support_oag,1,2
case,2017-02,due_process,1,14
case,2017-02,notice,2,194
case,2017-02,hearing,1,184
case,2017-02,recusal,1,11
case,2017-02,associate_judge,1,62
case,2017-02,mandamus,3,68
case,2017-02,appeal,3,76
case,2017-02,jurisdiction,1,112
case,2017-02,removal_remand,1,50
case,2017-02,federal_court,3,155
case,2017-02,protective_order,1,125
case,2017-02,temporary_orders,1,198
case,2017-02,custody,1,303
case,2017-02,property_financial,1,366
case,2017-02,fraud_perjury,1,128
case,2017-02,discovery,1,24
case,2017-02,sanctions_contempt,1,22
case,2017-02,injunction,1,205
case,2017-02,child_support_oag,1,17
case,2017-02,law_enforcement,1,32
case,2017-02,ex_parte,1,20
case,2017-02,lockout_eviction,1,22
case,2058-02,mandamus,2,12
case,2058-02,appeal,2,8
case,2058-02,federal_court,2,4
case,2058-02,child_support_oag,1,2
case,2024-02,federal_court,37,137
case,2024-02,associate_judge,6,23
case,2024-02,temporary_orders,18,295
case,2024-02,custody,20,369
case,2024-02,property_financial,23,400
case,2024-02,child_support_oag,11,40
case,2024-02,notice,29,228
case,2024-02,fraud_perjury,11,74
case,2024-02,discovery,16,50
case,2024-02,jurisdiction,7,36
case,2024-02,removal_remand,8,36
case,2024-02,civil_rights_1983,1,16
case,2024-02,protective_order,13,306
case,2024-02,lockout_eviction,17,210
case,2024-02,due_process,9,62
case,2024-02,hearing,16,216
case,2024-02,law_enforcement,8,49
case,2024-02,appeal,1,2
case,2024-02,sanctions_contempt,4,7
case,2025-02,jurisdiction,6,44
case,2025-02,removal_remand,6,82
case,2025-02,civil_rights_1983,1,16
case,2025-02,property_financial,11,731
case,2025-02,hearing,10,89
case,2025-02,appeal,7,73
case,2025-02,federal_court,12,105
case,2025-02,custody,10,642
case,2025-02,child_support_oag,6,68
case,2025-02,due_process,4,30
case,2025-02,notice,8,228
case,2025-02,recusal,7,204
case,2025-02,associate_judge,6,33
case,2025-02,mandamus,3,12
case,2025-02,protective_order,5,119
case,2025-02,temporary_orders,8,172
case,2025-02,fraud_perjury,7,95
case,2025-02,discovery,7,108
case,2025-02,sanctions_contempt,8,110
case,2025-02,injunction,6,96
case,2025-02,law_enforcement,4,42
case,2025-02,ex_parte,3,26
case,2025-02,lockout_eviction,5,50
case,2024-02,injunction,2,4
case,2024-03,notice,16,701
case,2024-03,hearing,13,133
case,2024-03,federal_court,36,328
case,2024-03,protective_order,15,212
case,2024-03,custody,21,2424
case,2024-03,property_financial,24,1494
case,2024-03,fraud_perjury,13,44
case,2024-03,lockout_eviction,8,84
case,2024-03,due_process,5,28
case,2024-03,associate_judge,15,71
case,2024-03,jurisdiction,10,59
case,2024-03,temporary_orders,18,303
case,2024-03,injunction,7,24
case,2025-03,due_process,20,180
case,2025-03,notice,61,1230
case,2025-03,hearing,44,964
case,2025-03,associate_judge,21,389
case,2025-03,jurisdiction,34,599
case,2025-03,removal_remand,32,291
case,2025-03,federal_court,62,879
case,2025-03,protective_order,23,697
case,2025-03,temporary_orders,23,1177
case,2025-03,custody,42,1885
case,2025-03,property_financial,43,1862
case,2025-03,fraud_perjury,28,431
case,2025-03,law_enforcement,29,210
case,2025-03,lockout_eviction,17,171
case,2025-03,recusal,17,60
case,2025-03,appeal,30,511
case,2025-03,discovery,22,138
case,2025-03,mandamus,15,559
case,2025-03,child_support_oag,19,190
case,2025-03,sanctions_contempt,21,146
case,2020-03,property_financial,1,1
case,2024-03,mandamus,2,14
case,2024-03,appeal,5,28
case,2024-03,removal_remand,4,39
case,2024-03,discovery,4,48
case,2024-03,sanctions_contempt,9,57
case,2024-03,child_support_oag,9,182
case,2024-03,law_enforcement,4,20
case,2024-03,ex_parte,4,24
case,2025-03,ex_parte,14,132
case,2025-03,injunction,29,801
case,2025-03,civil_rights_1983,3,16
case,2035-03,due_process,1,8
case,2035-03,notice,1,10
case,2035-03,hearing,1,20
case,2035-03,associate_judge,1,10
case,2035-03,mandamus,1,2
case,2035-03,appeal,1,2
case,2035-03,jurisdiction,1,28
case,2035-03,removal_remand,1,8
case,2035-03,federal_court,1,36
case,2035-03,custody,1,28
case,2035-03,property_financial,1,34
case,2035-03,fraud_perjury,1,4
case,2035-03,discovery,1,16
case,2035-03,sanctions_contempt,1,8
case,2035-03,injunction,1,6
case,2035-03,child_support_oag,1,4
case,2035-03,law_enforcement,1,6
case,2035-03,lockout_eviction,1,4
case,2025-04,due_process,50,1338
case,2025-04,notice,80,3655
case,2025-04,hearing,68,3677
case,2025-04,associate_judge,55,1768
case,2025-04,jurisdiction,58,2386
case,2025-04,removal_remand,35,611
case,2025-04,federal_court,91,2563
case,2025-04,property_financial,61,6029
case,2025-04,sanctions_contempt,35,506
case,2025-04,injunction,54,1925
case,2025-04,law_enforcement,40,387
case,2025-04,mandamus,53,2986
case,2025-04,appeal,62,2392
case,2025-04,custody,50,4682
case,2025-04,fraud_perjury,41,814
case,2025-04,discovery,25,382
case,2025-04,child_support_oag,49,524
case,2025-04,lockout_eviction,36,1007
case,2025-04,recusal,39,914
case,2025-04,civil_rights_1983,5,46
case,2025-04,protective_order,35,2508
case,2025-04,temporary_orders,40,4108
case,2025-04,ex_parte,31,529
case,2024-04,notice,26,4344
case,2024-04,associate_judge,21,632
case,2024-04,mandamus,30,1272
case,2024-04,appeal,34,941
case,2024-04,federal_court,42,1826
case,2024-04,protective_order,28,3964
case,2024-04,due_process,18,528
case,2024-04,hearing,24,3170
case,2024-04,jurisdiction,18,500
case,2024-04,removal_remand,14,255
case,2024-04,rico,6,6
case,2024-04,temporary_orders,23,3450
case,2024-04,custody,25,10203
case,2024-04,property_financial,23,9682
case,2024-04,fraud_perjury,13,482
case,2024-04,discovery,14,407
case,2024-04,sanctions_contempt,15,296
case,2024-04,injunction,15,234
case,2024-04,child_support_oag,17,916
case,2024-04,law_enforcement,19,673
case,2024-04,ex_parte,15,472
case,2024-04,lockout_eviction,21,1733
case,2024-04,recusal,4,8
case,2021-04,federal_court,1,1
case,2021-04,protective_order,1,2
case,2023-05,notice,1,36
case,2023-05,hearing,1,4
case,2023-05,recusal,1,30
case,2023-05,associate_judge,1,16
case,2023-05,mandamus,1,4
case,2023-05,appeal,1,74
case,2023-05,jurisdiction,1,120
case,2023-05,removal_remand,1,10
case,2023-05,federal_court,1,86
case,2023-05,custody,1,4
case,2023-05,property_financial,1,36
case,2023-05,discovery,1,4
case,2023-05,law_enforcement,1,12
