corpus,issue,docs_with_hits,total_hits,pct_docs
case,due_process,197,5629,0.2949
case,notice,418,22877,0.6257
case,hearing,331,18366,0.4955
case,recusal,191,11332,0.2859
case,associate_judge,226,7373,0.3383
case,mandamus,245,12826,0.3668
case,appeal,337,11597,0.5045
case,jurisdiction,248,8819,0.3713
case,removal_remand,176,3532,0.2635
case,federal_court,517,14514,0.774
case,civil_rights_1983,24,250,0.0359
case,rico,29,874,0.0434
case,protective_order,221,17645,0.3308
case,temporary_orders,237,19050,0.3548
case,custody,320,41271,0.479
case,property_financial,361,47091,0.5404
case,fraud_perjury,208,5540,0.3114
case,discovery,182,3038,0.2725
case,sanctions_contempt,151,2949,0.226
case,injunction,178,6593,0.2665
case,child_support_oag,220,5398,0.3293
case,law_enforcement,201,3184,0.3009
case,ex_parte,125,2532,0.1871
case,lockout_eviction,206,7285,0.3084
