issue,statute,doc_count
custody,Tex. Fam. Code 153.002,51
notice,Tex. Fam. Code 153.002,51
law_enforcement,Tex. Fam. Code 153.002,50
mandamus,Tex. Fam. Code 153.002,50
property_financial,Tex. Fam. Code 153.002,50
hearing,Tex. Fam. Code 153.002,50
federal_court,Tex. Fam. Code 153.002,50
fraud_perjury,Tex. Fam. Code 153.002,48
removal_remand,Tex. Fam. Code 153.002,47
appeal,Tex. Fam. Code 153.002,47
due_process,Tex. Fam. Code 153.002,46
temporary_orders,Tex. Fam. Code 153.002,45
protective_order,Tex. Fam. Code 153.002,44
appeal,Tex. Fam. Code 105.001,44
custody,Tex. Fam. Code 105.001,44
associate_judge,Tex. Fam. Code 105.001,44
discovery,Tex. Fam. Code 153.002,44
temporary_orders,Tex. Fam. Code 105.001,44
notice,Tex. Fam. Code 105.001,44
hearing,Tex. Fam. Code 105.001,44
injunction,Tex. Fam. Code 153.002,43
protective_order,Tex. Fam. Code 105.001,43
property_financial,Tex. Fam. Code 105.001,43
federal_court,Tex. Fam. Code 105.001,43
mandamus,Tex. Fam. Code 105.001,42
jurisdiction,Tex. Fam. Code 153.002,42
child_support_oag,Tex. Fam. Code 153.002,42
sanctions_contempt,Tex. Fam. Code 153.002,42
lockout_eviction,Tex. Fam. Code 153.002,42
associate_judge,Tex. Fam. Code 153.002,41
due_process,Tex. Fam. Code 105.001,40
lockout_eviction,Tex. Fam. Code 105.001,40
fraud_perjury,Tex. Fam. Code 105.001,40
law_enforcement,Tex. Fam. Code 105.001,39
jurisdiction,Tex. Fam. Code 105.001,39
injunction,Tex. Fam. Code 105.001,39
ex_parte,Tex. Fam. Code 105.001,38
ex_parte,Tex. Fam. Code 153.002,38
sanctions_contempt,Tex. Fam. Code 105.001,37
removal_remand,Tex. Fam. Code 105.001,36
child_support_oag,Tex. Fam. Code 105.001,35
discovery,Tex. Fam. Code 105.001,34
federal_court,Tex. R. Civ. P. 18a,32
recusal,Tex. R. Civ. P. 18a,32
property_financial,Tex. Fam. Code 153.001,31
appeal,Tex. Fam. Code 153.001,31
custody,Tex. Fam. Code 153.001,31
notice,Tex. Fam. Code 153.001,31
hearing,Tex. Fam. Code 153.001,31
federal_court,Tex. Fam. Code 153.001,31
law_enforcement,Tex. Fam. Code 153.001,30
mandamus,Tex. Fam. Code 153.001,30
jurisdiction,Tex. Fam. Code 153.001,30
temporary_orders,Tex. Fam. Code 153.001,30
protective_order,Tex. Fam. Code 153.001,29
associate_judge,Tex. Fam. Code 153.001,29
fraud_perjury,Tex. Fam. Code 153.001,29
injunction,Tex. Fam. Code 153.001,28
removal_remand,Tex. Fam. Code 153.001,28
due_process,Tex. R. Civ. P. 18a,28
hearing,Tex. R. Civ. P. 18a,28
child_support_oag,Tex. Fam. Code 153.001,27
recusal,Tex. Fam. Code 153.002,27
discovery,Tex. Fam. Code 153.001,27
law_enforcement,Tex. R. Civ. P. 166a,26
recusal,Tex. Fam. Code 153.001,26
property_financial,Tex. R. Civ. P. 166a,26
due_process,Tex. Fam. Code 153.001,26
sanctions_contempt,Tex. Fam. Code 153.001,26
removal_remand,Tex. R. Civ. P. 166a,26
custody,Tex. R. Civ. P. 166a,26
notice,Tex. R. Civ. P. 166a,26
hearing,Tex. R. Civ. P. 166a,26
federal_court,Tex. R. Civ. P. 166a,26
recusal,Tex. R. Civ. P. 166a,25
ex_parte,Tex. Fam. Code 153.001,25
lockout_eviction,Tex. Fam. Code 153.001,25
jurisdiction,Tex. R. Civ. P. 166a,24
child_support_oag,Tex. R. Civ. P. 166a,24
protective_order,Tex. R. Civ. P. 166a,24
discovery,Tex. R. Civ. P. 166a,24
temporary_orders,Tex. R. Civ. P. 166a,24
fraud_perjury,Tex. R. Civ. P. 166a,24
notice,Tex. R. Civ. P. 18a,24
appeal,Tex. R. Civ. P. 18a,24
associate_judge,Tex. R. Civ. P. 18a,24
mandamus,Tex. R. Civ. P. 166a,23
due_process,Tex. R. Civ. P. 166a,23
jurisdiction,Tex. R. Civ. P. 18a,23
property_financial,Tex. R. Civ. P. 18a,22
law_enforcement,Tex. R. Civ. P. 12,21
injunction,Tex. R. Civ. P. 166a,21
recusal,Tex. Fam. Code 105.001,21
appeal,Tex. R. Civ. P. 12,21
appeal,Tex. R. Civ. P. 166a,21
notice,Tex. R. Civ. P. 12,21
hearing,Tex. R. Civ. P. 12,21
federal_court,Tex. R. Civ. P. 12,21
federal_court,Tex. R. Civ. P. 21,21
discovery,Tex. R. Civ. P. 198,21
federal_court,Tex. R. Civ. P. 198,21
custody,Tex. R. Civ. P. 198,21
property_financial,Tex. R. Civ. P. 198,21
sanctions_contempt,Tex. R. Civ. P. 18a,21
sanctions_contempt,Tex. R. Civ. P. 12,20
sanctions_contempt,Tex. R. Civ. P. 166a,20
custody,Tex. R. Civ. P. 12,20
custody,Tex. R. Civ. P. 21,20
associate_judge,Tex. R. Civ. P. 166a,20
notice,Tex. R. Civ. P. 21,20
temporary_orders,Tex. R. Civ. P. 198,20
law_enforcement,Tex. R. Civ. P. 21,19
mandamus,Tex. R. Civ. P. 12,19
injunction,Tex. R. Civ. P. 12,19
ex_parte,Tex. R. Civ. P. 166a,19
property_financial,Tex. R. Civ. P. 12,19
due_process,Tex. R. Civ. P. 12,19
appeal,Tex. R. Civ. P. 21,19
discovery,Tex. R. Civ. P. 12,19
lockout_eviction,Tex. R. Civ. P. 12,19
hearing,Tex. R. Civ. P. 21,19
fraud_perjury,Tex. R. Civ. P. 12,19
sanctions_contempt,Tex. R. Civ. P. 198,19
protective_order,Tex. R. Civ. P. 198,19
notice,Tex. R. Civ. P. 198,19
