issue,docs_with_hits,total_hits
property_financial,297,45951
custody,269,40603
notice,341,22384
temporary_orders,200,18626
hearing,276,17785
protective_order,205,17392
federal_court,415,14056
mandamus,170,12110
recusal,156,10979
appeal,239,10702
jurisdiction,216,8511
lockout_eviction,188,7185
associate_judge,196,7158
injunction,160,6441
due_process,184,5552
fraud_perjury,198,5403
child_support_oag,192,5251
removal_remand,157,3358
law_enforcement,179,3047
discovery,170,2997
sanctions_contempt,142,2915
ex_parte,113,2453
rico,28,864
civil_rights_1983,22,218
