month,tag,doc_count
2016-02,mandamus,1
2017-02,mandamus,1
2017-02,record,1
2021-08,order,1
2023-05,motion,1
2023-12,petition,2
2023-12,order,8
2023-12,motion,2
2023-12,emergency,1
2023-12,hearing,1
2024-02,order,9
2024-02,report,5
2024-02,notice,7
2024-02,motion,14
2024-02,record,1
2024-02,emergency,5
2024-02,petition,2
2024-02,hearing,2
2024-02,brief,2
2024-03,notice,6
2024-03,affidavit,9
2024-03,report,4
2024-03,order,5
2024-03,record,1
2024-04,motion,15
2024-04,notice,8
2024-04,emergency,6
2024-04,mandamus,9
2024-04,hearing,5
2024-04,objection,3
2024-04,appeal,1
2024-04,order,1
2024-05,hearing,1
2024-05,order,1
2024-05,mandamus,2
2024-05,petition,1
2024-05,notice,1
2024-06,motion,6
2024-06,objection,2
2024-07,objection,1
2024-07,petition,1
2024-09,hearing,7
2024-09,mandamus,3
2024-09,motion,8
2024-09,discovery,1
2024-09,order,7
2024-09,emergency,1
2024-10,motion,5
2024-10,order,12
2024-10,notice,2
2024-10,objection,3
2024-10,recusal,3
2024-10,hearing,6
2024-10,affidavit,3
2024-11,order,10
2024-11,motion,12
2024-11,recusal,4
2024-11,emergency,1
2024-11,notice,3
2024-11,discovery,4
2024-12,notice,6
2024-12,removal,4
2024-12,order,2
2024-12,remand,2
2025-02,order,3
2025-02,emergency,1
2025-02,motion,5
2025-02,notice,3
2025-02,objection,2
2025-03,notice,9
2025-03,motion,15
2025-03,order,4
2025-03,emergency,7
2025-03,petition,6
2025-03,hearing,5
2025-03,objection,1
2025-04,petition,8
2025-04,objection,12
2025-04,notice,25
2025-04,motion,10
2025-04,transfer,3
2025-04,emergency,7
2025-04,hearing,2
2025-04,mandamus,13
2025-04,record,4
2025-04,order,14
2025-04,report,1
2025-04,recusal,3
2025-05,mandamus,18
2025-05,motion,12
2025-05,emergency,5
2025-05,record,5
2025-05,order,12
2025-05,objection,5
2025-05,affidavit,2
2025-05,notice,4
2025-05,memorandum,2
2025-05,recusal,2
2025-06,order,1
2025-06,hearing,1
2025-06,notice,1
2025-07,motion,3
2025-07,hearing,8
2025-07,notice,1
2025-08,hearing,4
2025-08,objection,5
2025-08,notice,5
2025-08,motion,1
2025-08,recusal,1
2025-08,order,4
2025-09,emergency,1
2025-09,notice,7
2025-09,motion,7
2025-09,order,4
2025-09,affidavit,1
2025-09,mandamus,2
2025-09,record,1
2025-10,motion,3
2025-10,sanctions,2
2025-10,petition,2
2025-10,response,1
2025-10,mandamus,2
2025-10,record,1
2025-11,motion,6
2025-11,hearing,1
2025-11,order,1
2025-11,recusal,2
2025-11,petition,1
2025-11,response,4
2025-12,petition,3
2025-12,objection,2
2025-12,notice,2
