citation,count
18 U.S.C. 1961,159
18 U.S.C. 1962,153
18 U.S.C. 1343,107
18 U.S.C. 1964,101
Tex. Fam. Code 105.001,80
18 U.S.C. 1952,73
Tex. Fam. Code 153.002,70
18 U.S.C. 1341,70
Tex. R. Civ. P. 18a,67
18 U.S.C. Sec,61
Tex. Fam. Code Ann,59
28 U.S.C. 1331,58
Tex. Fam. Code 201.007,56
28 U.S.C. 1391,55
18 U.S.C. ,54
Tex. R. Civ. P. 18b,49
18 U.S.C. 1961-1968,43
18 U.S.C. A,40
Tex. Fam. Code 201.015,39
18 U.S.C. 1965,39
Tex. Gov't Code Ann,38
Tex. Fam. Code 153.001,36
Tex. Fam. Code 85.001,36
Tex. Fam. Code 83.006,33
Tex. Admin. Code 155.152,30
Tex. R. Civ. P. 166a,29
28 U.S.C. 1915,29
28 U.S.C. 1332,26
Tex. R. Civ. P. 12,25
Tex. Fam. Code 201.013,24
Tex. R. Civ. P. 198,23
18 U.S.C. 1503,23
Tex. R. Civ. P. 21,22
Tex. R. Civ. P. 21a,22
42 U.S.C. 1983,22
Tex. Fam. Code 155.001,21
Tex. R. Civ. P. 174,20
18 U.S.C. 1343-a,20
Tex. R. Civ. P. 237a,19
Tex. R. Civ. P. 680,19
Tex. R. Civ. P. 11,19
Tex. Fam. Code 262.102,19
Tex. Fam. Code 6.407,18
Tex. Fam. Code 201.011,17
Tex. Fam. Code 85.021,17
18 U.S.C. 1956,17
Tex. Fam. Code 6.405,16
Tex. R. Civ. P. 245,16
Tex. Fam. Code 109.001,16
Tex. Fam. Code 262.201,15
18 U.S.C. 1951,15
18 U.S.C. 1963,15
28 U.S.C. 1441,14
Tex. Fam. Code 201.006,14
Tex. R. Civ. P. 3,13
Tex. R. Civ. P. 215,13
Tex. Fam. Code 261.504,13
Tex. Fam. Code 156.006,13
Tex. Penal Code 37.02,12
Tex. R. Civ. P. 8,12
Tex. R. Civ. P. 165a,12
Tex. R. Civ. P. 193,12
Tex. Fam. Code 6.501,12
Tex. Fam. Code 201.005,12
Tex. Fam. Code 201.104,12
Tex. Fam. Code 201.014,12
18 U.S.C. 1512,12
Tex. Penal Code 37.03,11
Tex. Fam. Code 155.201,11
Tex. Fam. Code 6.502,11
Tex. Fam. Code 105.003,11
28 U.S.C. 1257,11
18 U.S.C. 3575,11
Tex. Fam. Code 161.001,11
Tex. R. Civ. P. 13,10
Tex. Fam. Code 6.503,10
Tex. Fam. Code 85.022,10
15 U.S.C. 1673,9
Tex. Fam. Code 81.001,9
Tex. Fam. Code 262.101,9
Tex. Fam. Code 262.1015,9
18 U.S.C. 1957,9
28 U.S.C. 1447,8
28 U.S.C. 1446,8
Tex. Gov't Code 93873858,8
Tex. Gov't Code 25.0017-18,8
Tex. Gov't Code 11,8
Tex. Fam. Code 153,8
Tex. Fam. Code 261.001,8
18 U.S.C. 1961-68,8
Tex. Fam. Code 201.101,7
Tex. Admin. Code 700.1102,7
Tex. Fam. Code 201.317,7
Tex. Fam. Code 152.311,7
28 U.S.C. 455,7
Tex. Fam. Code 83.001,7
18 U.S.C. Sections,7
Tex. Fam. Code 42.003,6
Tex. Fam. Code 42.006,6
Tex. Penal Code 25.03,6
Tex. Fam. Code 105.009,6
Tex. R. Civ. P. 251,6
Tex. Fam. Code 85.00,6
Tex. R. Civ. P. 330,6
Tex. R. Civ. P. 684,6
Tex. R. Civ. P. 683,6
Tex. Fam. Code 153.004,6
Tex. Fam. Code 153.131,6
Tex. Fam. Code 263.307,6
Tex. Fam. Code 263.401,6
Tex. Fam. Code 262.105,6
Tex. Fam. Code 201.1041,6
Tex. Fam. Code 201.2041,6
18 U.S.C. 2314,6
Tex. Fam. Code 152.208,6
18 U.S.C. 1621,6
Tex. Admin. Code 707.469,6
Tex. Admin. Code 707.471,6
Tex. Admin. Code 707.467,6
Tex. Admin. Code 707.451,6
Tex. Admin. Code 707.465,6
Tex. Admin. Code 707.801,6
Tex. Admin. Code 1.204,6
Tex. R. Civ. P. 18D,5
21 U.S.C. 881,5
28 U.S.C. 157,5
Tex. Fam. Code 161.206,5
Tex. Fam. Code 201.012,5
Tex. Fam. Code 201.1042,5
Tex. Fam. Code 152.204,5
18 U.S.C. 3237,5
Tex. Fam. Code 152.102,5
18 U.S.C. 1344,5
Tex. Fam. Code 161.211,5
Tex. Admin. Code 155.157,5
18 U.S.C. 1692,5
Tex. Admin. Code 730.1716,5
Tex. R. Civ. P. 329b,5
Tex. Fam. Code sec,4
Tex. R. Civ. P. 41,4
28 U.S.C. 153,4
Tex. Fam. Code 261.107,4
Tex. Fam. Code 153.134,4
42 U.S.C. 1988,4
28 U.S.C. 1343,4
Tex. R. Civ. P. 85,4
18 U.S.C. 371,4
18 U.S.C. Section,4
