citation,doc_count,total_hits,sample_source
S.P.R.L. v. Imrex,103,234," | RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | (quoting Sedima, S.P.R.L. v. Imrex Co., 473 U.S. 479, 496, 105 S.Ct. 3275, 87"
Inc. v. Northwestern,76,571, | RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | criminal activity. 18 U.S.C.  1961(5) ; H.J. Inc. v. Northwestern Bell
Boyle v. United,64,317," | RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | collection of unlawful debt.' Boyle v. United States, 556 U.S. 938, 94345,"
In re Interest,63,189," | RESEARCH\vLex-Vincent--I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-s-1.pdf | violation of due process (In re Interest of K.M.L., 443 S.W.3d 101 (Tex."
States v. Turkette,52,234," | RESEARCH\vLex-Vincent--1--From-December-2023-through-at-least-August-2025--a-group-of-individuals-Morgan-Michelle-Myers--D-1.pdf | a pattern of racketeering activity. (See United States v. Turkette, 452 U.S."
Tal v. Hogan,43,196," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | Cir. 2016); Tal v. Hogan, 453 F.3d 1244, 126768 (10th Cir. 2006)). The"
Corp. v. Twombly,43,82," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | not suffice. Id. (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570"
Corp. v. Stone,40,234," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir. 1993)),"
Inc v. Northwestern,39,89," | RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Inc v. Northwestern Bell Telephone Company, 492 U.S. 229, 109 S.Ct. 2893,"
Bustos v. Invierte,38,59," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | both related and continuous. Bustos v. Invierte En Tex. , 4:22-CV-02690 (S.D."
Bixler v. Foster,37,123," | RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | 268 (1992); Bixler v. Foster, 596 F.3d 751, 757 (10th Cir. 2010). The evidence"
Ashcroft v. Iqbal,36,80," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And"
Hall v. Witteman,36,77," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | or entities. Poindexter, 2012 WL 13035041, at *7 (citing Hall v. Witteman,"
Heinrich v. Waiting,35,58, | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | sufficient to demonstrate a pattern. Heinrich v. Waiting Angels Adoption
Schrag v. Dinges,34,141," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | interrelated and not isolated events (Schrag v. Dinges, 788 F.Supp. 1543,"
Skurkey v. Daniel,34,104," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | closed or open pattern of continuity. Skurkey v. Daniel, No. CIV-22-496-R,"
Co. v. Donovan,34,47," | RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | Ins. Co. v. Donovan, CIVIL ACTION NO. H-12-0432 (S.D. Tex. Jul 03, 2012)"
