issue_a,issue_b,doc_count
appeal,federal_court,369
appeal,property_financial,364
federal_court,property_financial,327
appeal,jurisdiction,287
federal_court,jurisdiction,285
jurisdiction,property_financial,262
appeal,notice,255
appeal,fraud_perjury,237
federal_court,fraud_perjury,236
appeal,hearing,235
federal_court,notice,232
fraud_perjury,property_financial,228
custody,property_financial,227
appeal,law_enforcement,226
notice,property_financial,224
appeal,custody,216
federal_court,hearing,216
jurisdiction,notice,214
hearing,notice,211
hearing,property_financial,209
law_enforcement,property_financial,207
custody,federal_court,205
hearing,jurisdiction,204
federal_court,law_enforcement,202
federal_court,rico,192
custody,jurisdiction,190
property_financial,rico,185
appeal,rico,182
appeal,lockout_eviction,179
jurisdiction,law_enforcement,178
lockout_eviction,property_financial,176
appeal,removal_remand,174
fraud_perjury,jurisdiction,174
fraud_perjury,rico,173
law_enforcement,notice,171
custody,notice,169
custody,hearing,168
hearing,law_enforcement,167
federal_court,lockout_eviction,166
appeal,due_process,165
federal_court,removal_remand,163
property_financial,removal_remand,162
jurisdiction,lockout_eviction,161
lockout_eviction,notice,159
notice,removal_remand,153
custody,law_enforcement,153
hearing,lockout_eviction,152
fraud_perjury,law_enforcement,152
appeal,protective_order,151
jurisdiction,removal_remand,150
due_process,federal_court,147
due_process,hearing,146
custody,fraud_perjury,146
due_process,notice,144
property_financial,protective_order,141
custody,lockout_eviction,140
hearing,removal_remand,139
due_process,property_financial,137
notice,protective_order,136
federal_court,protective_order,135
custody,protective_order,134
law_enforcement,removal_remand,134
due_process,jurisdiction,133
hearing,protective_order,133
appeal,mandamus,131
fraud_perjury,notice,130
appeal,discovery,128
law_enforcement,lockout_eviction,128
jurisdiction,protective_order,127
custody,removal_remand,126
appeal,ex_parte,125
discovery,federal_court,125
due_process,law_enforcement,124
federal_court,mandamus,123
fraud_perjury,hearing,123
custody,due_process,122
jurisdiction,rico,122
hearing,mandamus,121
lockout_eviction,removal_remand,121
fraud_perjury,lockout_eviction,121
appeal,injunction,119
lockout_eviction,protective_order,119
mandamus,property_financial,119
appeal,associate_judge,119
discovery,property_financial,119
injunction,property_financial,117
mandamus,notice,117
federal_court,injunction,116
custody,injunction,115
hearing,injunction,114
ex_parte,hearing,113
ex_parte,federal_court,112
ex_parte,notice,112
injunction,jurisdiction,112
associate_judge,hearing,111
discovery,jurisdiction,111
associate_judge,jurisdiction,110
injunction,notice,109
associate_judge,federal_court,109
law_enforcement,protective_order,109
hearing,temporary_orders,108
jurisdiction,mandamus,108
fraud_perjury,protective_order,108
appeal,temporary_orders,107
ex_parte,property_financial,107
notice,temporary_orders,107
ex_parte,jurisdiction,106
appeal,recusal,106
discovery,law_enforcement,105
appeal,civil_rights_1983,104
civil_rights_1983,federal_court,104
due_process,lockout_eviction,103
law_enforcement,mandamus,103
fraud_perjury,removal_remand,102
discovery,notice,101
