issue,docs_with_hits,total_hits,pct_docs
appeal,435,13180,0.9519
federal_court,386,16277,0.8446
property_financial,384,22189,0.8403
jurisdiction,305,11772,0.6674
notice,263,4845,0.5755
fraud_perjury,250,12185,0.547
hearing,247,5956,0.5405
custody,233,5658,0.5098
law_enforcement,233,913,0.5098
rico,192,60327,0.4201
lockout_eviction,185,2416,0.4048
removal_remand,180,1923,0.3939
due_process,169,4054,0.3698
protective_order,155,4406,0.3392
mandamus,134,3741,0.2932
discovery,132,422,0.2888
ex_parte,127,1044,0.2779
injunction,121,1025,0.2648
associate_judge,120,5818,0.2626
civil_rights_1983,108,1490,0.2363
temporary_orders,108,2787,0.2363
recusal,107,11844,0.2341
sanctions_contempt,95,1342,0.2079
child_support_oag,78,467,0.1707
